rom_path,crc,header_mapper,header_submapper,mapper,submapper,mapper_source,has_autorun,is_valid,parse_error
0/Gothic Mario Bros (SMB1 Hack).nes,0E87B8D7,0,,0,0,rom_db_override,0,1,
0/Gradirs V.55 (Seicross Hack).nes,E640CBE3,0,,0,,header,0,1,
0/Graros (Seicross Hack).nes,42BFBB46,0,,0,,header,0,1,
0/Greys Demo (PD).nes,3DB9509A,0,,0,,header,0,1,
0/Gyrodine (J) [p1].nes,2A971204,0,,0,,header,0,1,
0/Gyrodine (J) [p2].nes,833458EF,0,,0,0,rom_db_override,0,1,
0/Gyromite (JUE).nes,023A5A32,0,,0,0,rom_db_override,0,1,
0/Hacked Mario Bros (SMB1 Hack).nes,B63B8F58,0,,0,,header,0,1,
0/Halloween Demo (PD).nes,8BAEDC0E,0,,0,,header,0,1,
0/Hansel & Gretel (SMB1 Hack).nes,30008503,0,,0,0,rom_db_override,0,1,
0/Happy Mario v1.0 (SMB1 Hack).nes,67186DAD,0,,0,,header,0,1,
0/Hayauchi Sokutei Game.nes,C89DA2EB,0,,0,,header,0,1,
0/He-Man (Kung Fu Hack).nes,2FA1E52A,0,,0,,header,0,1,
0/Headless Bros (SMB1 Hack).nes,79E3AE2A,0,,0,,header,0,1,
0/Hobbit Mario (SMB1 Hack).nes,119750DF,0,,0,,header,0,1,
0/Hogan's Alley (JU) [h1].nes,19DF419A,0,,0,,header,0,1,
0/Hogan's Alley (JU) [p1].nes,284E65E8,0,,0,,header,0,1,
0/Hogan's Alley (JU) [p2].nes,7FB320F6,0,,0,,header,0,1,
0/Hogan's Alley (JU).nes,FF24D794,0,,0,0,rom_db_override,0,1,
0/Hogan's Alley (PC10).nes,FF24D794,0,,0,0,rom_db_override,0,1,
0/Hungry Mario (SMB1 Hack).nes,0868AE06,0,,0,,header,0,1,
0/Hydlide (U).nes,77BF8B23,0,,0,0,rom_db_override,0,1,
0/Hydlide Special (J) [h1].nes,863330A6,0,,0,,header,0,1,
0/Hydlide Special (J) [p1].nes,BAAAE9E8,0,,0,0,rom_db_override,0,1,
0/Hyper Mario (SMB1 Hack) [a1].nes,CE51D303,0,,0,,header,0,1,
0/Hyper Mario (SMB1 Hack).nes,467563B0,0,,0,,header,0,1,
0/Hyper Olympic (J) [p1].nes,094E153D,0,,0,0,rom_db_override,0,1,
0/Hyper Sports (J) [p1].nes,B157C806,0,,0,0,rom_db_override,0,1,
0/Ice Climber (ASCII Chinese) (Ice Climber Hack).nes,C75E9375,0,,0,,header,0,1,
0/Ice Climber (JE).nes,0B58880C,0,,0,0,rom_db_override,0,1,
0/Ice Climber (U).nes,FB98D46E,0,,0,0,rom_db_override,0,1,
0/Ice Hockey (FDS Hack) (J).nes,D8E33D5F,0,,0,,header,0,1,
0/Ice Hockey (U).nes,AE64CA77,0,,0,0,rom_db_override,0,1,
0/Ikki (J) [p1].nes,687EBCD7,0,,0,,header,0,1,
0/Ikki (J) [p1][a1].nes,207E618C,0,,0,,header,0,1,
0/Ikki (J) [p1][a2].nes,6607E405,0,,0,,header,0,1,
0/Ikki (J) [p2].nes,9C07FFBE,0,,0,0,rom_db_override,0,1,
0/Interlace Demo 1 (PD).nes,BD031333,0,,0,,header,0,1,
0/Interlace Demo 2 (PD).nes,5B145EEE,0,,0,,header,0,1,
0/Interlace Demo 3 (PD).nes,49AEFAD6,0,,0,,header,0,1,
0/Interlace Demo 4 (PD).nes,8E3C8630,0,,0,,header,0,1,
0/Invisible Mario Bros (SMB1 Hack).nes,1649C27A,0,,0,,header,0,1,
0/Jail Bait (Pac-Man Hack).nes,A9C81388,0,,0,,header,0,1,
0/Jedi Mario Bros (SMB1 Hack).nes,8AEF5B7B,0,,0,0,rom_db_override,0,1,
0/Joust More (Balloon Fight Hack).nes,E03D1E02,0,,0,,header,0,1,
0/Joypad Test Cartridge (U).nes,CD883CDC,0,,0,0,rom_db_override,0,1,
0/Junk Demo (PD).nes,A098EBD2,0,,0,,header,0,1,
0/K-Joust [h1].nes,2C683D8D,0,,0,,header,0,1,
0/Karateka (J) [p1].nes,87883E16,0,,0,0,rom_db_override,0,1,
0/Killerman (Bomberman Collection Hack).nes,DC221EDB,0,,0,,header,0,1,
0/King Fuher (Kung Fu Heroes Hack).nes,8B957B50,0,,0,,header,0,1,
0/King Koopa (Mario Bros Hack).nes,67FB7B43,0,,0,,header,0,1,
0/King Koopa Arcade (Donkey Kong Hack).nes,67FB7B43,0,,0,,header,0,1,
0/Kinnikuman - Muscle Tag Match (J) [p1].nes,B397EDBC,0,,0,0,rom_db_override,0,1,
0/Kirby's Nuts (Nuts & Milk Hack).nes,CCFFAD61,0,,0,,header,0,1,
0/Kiss Goes Golfing starring Ace Frehley (Golf Hack).nes,0373A432,0,,0,,header,0,1,
0/Kiss Goes Golfing starring Gene Simmons (Golf Hack).nes,3B5586C3,0,,0,,header,0,1,
0/Kiss Goes Golfing starring Paul Stanley (Golf Hack).nes,5A032058,0,,0,,header,0,1,
0/Kiss Goes Golfing starring Peter Criss (Golf Hack).nes,A25ED91D,0,,0,,header,0,1,
0/Knome vs KDE Bingo V0.3 (PD).nes,FA36443D,0,,0,,header,0,1,
0/Koopa Invaders (Space Invaders Hack).nes,A6666D02,0,,0,,header,0,1,
0/Kung Fu (PC10).nes,D5C64257,0,,0,0,rom_db_override,0,1,
0/Kung Fu (U) [T-Port].nes,4A47881B,0,,0,,header,0,1,
0/Kung Fu (U) [a1].nes,464A67AB,0,,0,0,rom_db_override,0,1,
0/Kung Fu (U) [p1].nes,E37F82CC,0,,0,,header,0,1,
0/Kung Fu (U).nes,D5C64257,0,,0,0,rom_db_override,0,1,
0/Lesbian Tennis (Tennis Hack).nes,99F7B767,0,,0,,header,0,1,
0/Link Bros (Final) (SMB1 Hack).nes,13E2DA4F,0,,0,0,rom_db_override,0,1,
0/Little Red Hood (HES) [!].nes,71C01B19,0,,0,0,rom_db_override,0,1,
0/Little Red Hood (Xiao Hong Mao) (Joy Van).nes,0C1FE23D,0,,0,0,rom_db_override,0,1,
0/Little Robo-Knight (SMB1 Hack).nes,0944D36B,0,,0,,header,0,1,
0/Lode Runner (J) [h1].nes,3FAAA154,0,,0,,header,0,1,
0/Lode Runner (J) [h2].nes,0A3FC393,0,,0,0,rom_db_override,0,1,
0/Lode Runner (J) [p1].nes,863EE598,0,,0,0,rom_db_override,0,1,
0/Lode Runner (U) [T-Port].nes,948239C1,0,,0,,header,0,1,
0/Lode Runner (U).nes,AF5676DE,0,,0,0,rom_db_override,0,1,
0/Loony Pool (Lunar Ball Hack).nes,C12E6E2A,0,,0,,header,0,1,
"0/Lost Levels 2, The (V03-07-2000) (SMB1 Hack).nes",187E9D07,0,,0,0,rom_db_override,0,1,
0/Luigi & The Xmas Quest (Hack).nes,6BAF639C,0,,0,,header,0,1,
0/Luigi Bros V0.4 (SMB1 Hack) [a1].nes,A3E9A3B7,0,,0,,header,0,1,
0/Luigi Bros V0.4 (SMB1 Hack).nes,215C6AA4,0,,0,,header,0,1,
0/Luigi Wars (Bokosuka Wars Hack).nes,03DA35AD,0,,0,,header,0,1,
0/Luigi and the Christmas Quest (Final) (SMB1 Hack).nes,62933269,0,,0,,header,0,1,
0/Luigi and the Christmas Quest (SMB1 Hack).nes,DFB8B983,0,,0,0,rom_db_override,0,1,
0/Luigi and the New Quest (SMB1 Hack) [a1].nes,EC23EA4D,0,,0,,header,0,1,
0/Luigi and the New Quest (SMB1 Hack) [a2].nes,1D17AD3B,0,,0,,header,0,1,
0/Luigi and the New Quest (SMB1 Hack).nes,4DDB4DCE,0,,0,,header,0,1,
0/Luigi and the New Quest (level & graphics patch) (SMB1 Hack).nes,3CBE8BDD,0,,0,0,rom_db_override,0,1,
0/Luigi and the New Quest (new level patch) (SMB1 Hack).nes,10D86569,0,,0,,header,0,1,
0/Luigi and the New Quest (partial levels patch) (SMB1 Hack).nes,8FC52758,0,,0,,header,0,1,
0/Luigi and the New Quest - Spiffy Version (SMB1 Hack).nes,25DA821F,0,,0,,header,0,1,
0/Luigi's First Quest - Search for Mario (SMB1 Hack).nes,1F3C43E8,0,,0,,header,0,1,
0/Lunar Pool (E).nes,EEE0C7F8,0,,0,,header,0,1,
0/Lunar Pool (U).nes,988B446D,0,,0,0,rom_db_override,0,1,
0/M.U.S.C.L.E. (U).nes,8C1E1336,0,,0,,header,0,1,
0/M82 Game Selectable Working Product Display (E).nes,FCEBCC5F,0,,0,0,rom_db_override,0,1,
